timestamp;Langeland - Thruster 1 [kW];Langeland - Thruster 2 [kW];Langeland - Thruster 3 [kW];Langeland - Thruster 4 [kW];Langeland - Lever Thruster 1 [%];Langeland - Lever Thruster 2 [%];Langeland - Lever Thruster 3 [%];Langeland - Lever Thruster 4 [%];Langeland - Actual RPM Thruster 1 [RPM];Langeland - Actual RPM Thruster 2 [RPM];Langeland - Actual RPM Thruster 3 [RPM];Langeland - Actual RPM Thruster 4 [RPM];Langeland - Angle Thruster 1 [Degrees];Langeland - Angle Thruster 2 [Degrees];Langeland - Angle Thruster 3 [Degrees];Langeland - Angle Thruster 4 [Degrees];Langeland - Power DG 1 [kW];Langeland - Power DG 2 [kW];Langeland - Power DG 3 [kW];Langeland - Power DG 4 [kW];Langeland - Power DG 5 [kW];Langeland - Total Power [kW];Langeland - Fuel DG 1 [l/h];Langeland - Fuel DG 2 [l/h];Langeland - Fuel DG 3 [l/h];Langeland - Fuel DG 4  [l/h];Langeland - Fuel DG 5 [l/h];Langeland - Shore Power 1 [kW];Langeland - Shore Power 2 [kW];Langeland - Track speed [Knots];Langeland - Autopilot [on/off]
27.10.2019 08:25;201;180;477;462;62;62;84;84;992;1000;1267;1239;3;359;6;6;0;0;791;815;0;1606;0;0;199;208;0;0;0;;1
27.10.2019 08:26;197;182;482;460;62;62;84;84;996;1002;1277;1237;3;359;3;0;0;0;803;810;0;1613;0;0;197;205;0;0;0;12.aug;1
27.10.2019 08:26;200;180;473;451;62;62;84;84;995;1003;1202;1191;3;359;17;14;0;0;798;792;0;1590;0;0;196;203;0;0;0;;1
27.10.2019 08:26;199;179;478;467;62;62;84;84;996;1002;1267;1245;3;359;3;3;0;0;809;806;0;1615;0;0;199;206;0;0;0;12.sep;1
27.10.2019 08:26;204;181;481;461;62;62;84;84;996;1003;1267;1239;3;359;6;6;0;0;796;802;0;1598;0;0;201;207;0;0;0;;1
27.10.2019 08:27;200;179;476;456;62;62;84;84;995;1004;1267;1237;3;359;4;4;0;0;795;801;0;1596;0;0;197;205;0;0;0;13;1
27.10.2019 08:27;199;179;471;454;62;62;84;84;994;1001;1272;1238;3;359;1;3;0;0;796;784;0;1580;0;0;197;201;0;0;0;;1
27.10.2019 08:27;200;180;473;459;62;62;84;84;997;1004;1262;1239;3;359;4;4;0;0;802;816;0;1600;0;0;197;208;0;0;0;12.sep;1
27.10.2019 08:27;201;184;477;459;62;62;84;84;994;1000;1266;1239;3;359;3;3;0;0;812;798;0;1610;0;0;198;206;0;0;0;;1
27.10.2019 08:28;204;187;473;456;62;62;84;84;995;1000;1256;1233;3;359;6;6;0;0;805;813;0;1618;0;0;201;209;0;0;0;13;1
27.10.2019 08:28;203;182;474;459;62;62;84;84;993;1004;1265;1237;3;359;4;4;0;0;807;798;0;1605;0;0;198;205;0;0;0;;1
27.10.2019 08:28;198;187;481;459;62;62;84;84;998;998;1258;1235;3;359;6;4;0;0;795;797;0;1592;0;0;197;208;0;0;0;13;1
27.10.2019 08:28;205;183;473;462;62;62;84;84;991;998;1244;1238;3;359;7;7;0;0;800;806;0;1606;0;0;198;207;0;0;0;;1
27.10.2019 08:29;204;185;480;460;62;62;84;84;998;1003;1271;1242;3;359;0;0;0;0;809;807;0;1616;0;0;198;208;0;0;0;13.jan;1
27.10.2019 08:29;203;185;469;462;62;62;84;84;995;1000;1245;1236;3;359;6;7;0;0;823;797;0;1620;0;0;202;204;0;0;0;;1
27.10.2019 08:29;139;123;371;383;57;57;73;73;917;926;1176;1170;3;359;7;6;0;0;630;630;0;1260;0;0;156;161;0;0;0;13.jan;1
27.10.2019 08:29;149;129;363;382;57;57;73;73;918;924;1172;1174;3;359;3;3;0;0;634;630;0;1264;0;0;154;162;0;0;0;;1
27.10.2019 08:30;151;132;375;393;57;57;73;73;918;927;1175;1169;3;359;6;6;0;0;652;646;0;1298;0;0;160;165;0;0;0;12.jul;1
27.10.2019 08:30;151;136;400;401;57;57;73;73;917;927;1173;1172;3;359;10;8;0;0;669;665;0;1334;0;0;168;173;0;0;0;;1
27.10.2019 08:30;156;138;372;391;57;57;73;73;917;925;1170;1172;3;359;6;6;0;0;651;649;0;1300;0;0;157;167;0;0;0;12.mai;1
27.10.2019 08:30;155;139;393;400;57;57;73;73;915;925;1176;1170;3;359;7;7;0;0;671;668;0;1339;0;0;167;171;0;0;0;;1
27.10.2019 08:31;156;139;385;400;57;57;73;73;920;926;1171;1175;3;359;6;7;0;0;654;668;0;1322;0;0;164;170;0;0;0;12.apr;1
27.10.2019 08:31;150;133;385;400;57;57;73;73;916;924;1169;1173;3;359;8;7;0;0;656;667;0;1323;0;0;159;168;0;0;0;;1
27.10.2019 08:31;154;131;367;387;57;57;73;73;916;924;1170;1170;3;359;3;3;0;0;652;649;0;1301;0;0;157;164;0;0;0;12.mar;1
27.10.2019 08:31;155;141;384;396;57;57;73;73;915;928;1172;1172;3;359;7;6;0;0;667;665;0;1332;0;0;164;171;0;0;0;;1
27.10.2019 08:32;154;143;377;392;57;57;73;73;917;922;1173;1170;3;359;4;4;0;0;666;664;0;1314;0;0;161;168;0;0;0;12.jan;1
27.10.2019 08:32;156;140;404;400;57;57;73;73;918;925;1172;1172;3;359;7;7;0;0;673;683;0;1356;0;0;167;177;0;0;0;;1
27.10.2019 08:32;157;141;414;414;57;57;73;73;918;926;1172;1169;3;359;11;11;0;0;695;686;0;1381;0;0;174;177;0;0;0;11.sep;1
27.10.2019 08:32;159;140;417;419;57;57;73;73;918;927;1171;1173;3;359;14;13;0;0;691;694;0;1385;0;0;172;180;0;0;0;;1
27.10.2019 08:33;155;136;393;401;57;57;73;73;921;927;1168;1170;3;359;10;10;0;0;676;677;0;1353;0;0;169;174;0;0;0;12;1
27.10.2019 08:33;152;137;374;391;57;57;73;73;917;929;1171;1173;3;359;6;6;0;0;665;669;0;1334;0;0;163;172;0;0;0;;1
27.10.2019 08:33;156;136;377;389;57;57;73;73;917;924;1172;1174;3;359;3;3;0;0;664;665;0;1329;0;0;164;168;0;0;0;11.sep;1
27.10.2019 08:33;161;140;405;414;57;57;73;73;920;922;1170;1167;3;359;10;10;0;0;696;683;0;1379;0;0;171;176;0;0;0;;1
27.10.2019 08:34;157;136;394;399;57;57;73;73;916;923;1171;1173;3;359;8;8;0;0;666;667;0;1333;0;0;167;171;0;0;0;11.sep;1
27.10.2019 08:34;157;142;378;394;57;57;73;73;916;926;1174;1170;3;359;6;6;0;0;665;669;0;1334;0;0;167;170;0;0;0;;1
27.10.2019 08:34;157;139;375;392;57;57;73;73;918;926;1169;1169;3;359;3;3;0;0;664;653;0;1317;0;0;163;169;0;0;0;11.sep;1
27.10.2019 08:34;161;140;379;403;57;57;73;73;919;927;1170;1172;3;359;6;4;0;0;668;673;0;1341;0;0;168;173;0;0;0;;1
27.10.2019 08:35;161;147;388;399;57;57;73;73;917;926;1172;1171;3;359;4;4;0;0;685;668;0;1353;0;0;171;173;0;0;0;11.jul;1
27.10.2019 08:35;159;137;397;396;57;57;73;73;919;929;1169;1172;3;359;7;6;0;0;659;666;0;1325;0;0;166;170;0;0;0;;1
27.10.2019 08:35;157;139;381;392;57;57;73;73;919;924;1172;1170;3;359;6;4;0;0;674;666;0;1340;0;0;163;170;0;0;0;11.aug;1
27.10.2019 08:35;161;146;372;397;57;57;73;73;917;926;1170;1174;3;359;358;359;0;0;655;666;0;1321;0;0;163;170;0;0;0;;1
27.10.2019 08:36;160;143;395;404;57;57;73;73;917;925;1172;1173;3;359;7;7;0;0;676;671;0;1347;0;0;168;174;0;0;0;11.aug;1
27.10.2019 08:36;160;148;381;397;57;57;73;73;918;924;1174;1170;3;359;4;4;0;0;671;669;0;1340;0;0;166;172;0;0;0;;1
27.10.2019 08:36;164;145;410;412;57;57;73;73;914;927;1170;1169;3;359;10;10;0;0;696;689;0;1385;0;0;173;179;0;0;0;11.aug;1
27.10.2019 08:36;163;148;382;404;57;57;73;73;919;925;1171;1173;3;359;6;6;0;0;675;678;0;1353;0;0;167;176;0;0;0;;1
